key,feeder,comuna,datetime,value
50192,LA GALAXIA,MAIPU,1685908800,315.632435924069
50192,LA GALAXIA,MAIPU,1685912400,318.409581195899
50192,LA GALAXIA,MAIPU,1685916000,306.135538697914
50192,LA GALAXIA,MAIPU,1685919600,276.919343543925
50192,LA GALAXIA,MAIPU,1685923200,244.227152217937
50192,LA GALAXIA,MAIPU,1685926800,211.683709091378
50192,LA GALAXIA,MAIPU,1685930400,185.808798012074
50192,LA GALAXIA,MAIPU,1685934000,169.953925159352
50192,LA GALAXIA,MAIPU,1685937600,159.352776008339
50192,LA GALAXIA,MAIPU,1685941200,152.698700350301
50192,LA GALAXIA,MAIPU,1685944800,161.242715835336
50192,LA GALAXIA,MAIPU,1685948400,192.930980896574
50192,LA GALAXIA,MAIPU,1685952000,205.955148143906
50192,LA GALAXIA,MAIPU,1685955600,205.294652766083
50192,LA GALAXIA,MAIPU,1685959200,216.001722873372
50192,LA GALAXIA,MAIPU,1685962800,217.279870886437
50192,LA GALAXIA,MAIPU,1685966400,217.5233640139
50192,LA GALAXIA,MAIPU,1685970000,219.767857012868
50192,LA GALAXIA,MAIPU,1685973600,220.302447081882
50192,LA GALAXIA,MAIPU,1685977200,218.389715612912
50192,LA GALAXIA,MAIPU,1685980800,213.548190792804
50192,LA GALAXIA,MAIPU,1685984400,216.917532871284
50192,LA GALAXIA,MAIPU,1685988000,243.179565878732
50192,LA GALAXIA,MAIPU,1685991600,287.970973356073
50192,LA GALAXIA,MAIPU,1685995200,307.05957273358
50192,LA GALAXIA,MAIPU,1685998800,311.082595718785
50192,LA GALAXIA,MAIPU,1686002400,299.316513561795
50192,LA GALAXIA,MAIPU,1686006000,271.47891931464
50192,LA GALAXIA,MAIPU,1686009600,238.387295214153
50192,LA GALAXIA,MAIPU,1686013200,205.387860570311
50192,LA GALAXIA,MAIPU,1686016800,181.630976222267
50192,LA GALAXIA,MAIPU,1686020400,167.765294553295
50192,LA GALAXIA,MAIPU,1686024000,158.063623454696
50192,LA GALAXIA,MAIPU,1686027600,151.961595368262
50192,LA GALAXIA,MAIPU,1686031200,159.709063410131
50192,LA GALAXIA,MAIPU,1686034800,189.829312988604
50192,LA GALAXIA,MAIPU,1686038400,204.770637289138
50192,LA GALAXIA,MAIPU,1686042000,203.619992591102
50192,LA GALAXIA,MAIPU,1686045600,212.526727404594
50192,LA GALAXIA,MAIPU,1686049200,216.805598900035
50192,LA GALAXIA,MAIPU,1686052800,218.535053507622
50192,LA GALAXIA,MAIPU,1686056400,223.972799740357
50192,LA GALAXIA,MAIPU,1686060000,227.770020678497
50192,LA GALAXIA,MAIPU,1686063600,229.33310067835
50192,LA GALAXIA,MAIPU,1686067200,229.08197897676
50192,LA GALAXIA,MAIPU,1686070800,237.407020224566
50192,LA GALAXIA,MAIPU,1686074400,265.930834224838
50192,LA GALAXIA,MAIPU,1686078000,302.477058735779
50192,LA GALAXIA,MAIPU,1686081600,319.63491351336
50192,LA GALAXIA,MAIPU,1686085200,320.620129664717
50192,LA GALAXIA,MAIPU,1686088800,305.709727312743
50192,LA GALAXIA,MAIPU,1686092400,277.456233234303
50192,LA GALAXIA,MAIPU,1686096000,240.178565813031
50192,LA GALAXIA,MAIPU,1686099600,207.240812641001
50192,LA GALAXIA,MAIPU,1686103200,183.135689064515
50192,LA GALAXIA,MAIPU,1686106800,168.334020428538
50192,LA GALAXIA,MAIPU,1686110400,158.540963515439
50192,LA GALAXIA,MAIPU,1686114000,152.245509781823
50192,LA GALAXIA,MAIPU,1686117600,160.051342145369
50192,LA GALAXIA,MAIPU,1686121200,190.109413643063
50192,LA GALAXIA,MAIPU,1686124800,203.952877044609
50192,LA GALAXIA,MAIPU,1686128400,201.941063863575
50192,LA GALAXIA,MAIPU,1686132000,211.943859253143
50192,LA GALAXIA,MAIPU,1686135600,217.455880253817
50192,LA GALAXIA,MAIPU,1686139200,219.12619372176
50192,LA GALAXIA,MAIPU,1686142800,221.908069122418
50192,LA GALAXIA,MAIPU,1686146400,224.467491873285
50192,LA GALAXIA,MAIPU,1686150000,223.078266808938
50192,LA GALAXIA,MAIPU,1686153600,217.970793532722
50192,LA GALAXIA,MAIPU,1686157200,220.714290267904
50192,LA GALAXIA,MAIPU,1686160800,244.782925891222
50192,LA GALAXIA,MAIPU,1686164400,289.491987174987
50192,LA GALAXIA,MAIPU,1686168000,309.675426522047
50192,LA GALAXIA,MAIPU,1686171600,314.491389936994
50192,LA GALAXIA,MAIPU,1686175200,303.772748186785
50192,LA GALAXIA,MAIPU,1686178800,275.878347201911
50192,LA GALAXIA,MAIPU,1686182400,240.423705397185
50192,LA GALAXIA,MAIPU,1686186000,206.763268931071
50192,LA GALAXIA,MAIPU,1686189600,183.255425963368
50192,LA GALAXIA,MAIPU,1686193200,168.426957771848
50192,LA GALAXIA,MAIPU,1686196800,158.49706942438
50192,LA GALAXIA,MAIPU,1686200400,151.856635561035
50192,LA GALAXIA,MAIPU,1686204000,160.001817874699
50192,LA GALAXIA,MAIPU,1686207600,191.26742887505
50192,LA GALAXIA,MAIPU,1686211200,205.468092508525
50192,LA GALAXIA,MAIPU,1686214800,205.209082661824
50192,LA GALAXIA,MAIPU,1686218400,212.279701596493
50192,LA GALAXIA,MAIPU,1686222000,214.293660802961
50192,LA GALAXIA,MAIPU,1686225600,216.309575118677
50192,LA GALAXIA,MAIPU,1686229200,222.886925395279
50192,LA GALAXIA,MAIPU,1686232800,230.139461003269
50192,LA GALAXIA,MAIPU,1686236400,230.676283950951
50192,LA GALAXIA,MAIPU,1686240000,224.361060216979
50192,LA GALAXIA,MAIPU,1686243600,227.80849799934
50192,LA GALAXIA,MAIPU,1686247200,258.165303228099
50192,LA GALAXIA,MAIPU,1686250800,302.686772245526
50192,LA GALAXIA,MAIPU,1686254400,320.305202298245
50192,LA GALAXIA,MAIPU,1686258000,322.843810285747
50192,LA GALAXIA,MAIPU,1686261600,309.035030361989
50192,LA GALAXIA,MAIPU,1686265200,279.932113761825
50192,LA GALAXIA,MAIPU,1686268800,243.296412643389
50192,LA GALAXIA,MAIPU,1686272400,210.463910110184
50192,LA GALAXIA,MAIPU,1686276000,186.591844847512
50192,LA GALAXIA,MAIPU,1686279600,170.387916214074
50192,LA GALAXIA,MAIPU,1686283200,160.101158676441
50192,LA GALAXIA,MAIPU,1686286800,153.30611760578
50192,LA GALAXIA,MAIPU,1686290400,159.089711964477
50192,LA GALAXIA,MAIPU,1686294000,185.719798656135
50192,LA GALAXIA,MAIPU,1686297600,200.678771203746
50192,LA GALAXIA,MAIPU,1686301200,204.268355318184
50192,LA GALAXIA,MAIPU,1686304800,219.206885034994
50192,LA GALAXIA,MAIPU,1686308400,231.26445187657
50192,LA GALAXIA,MAIPU,1686312000,241.332133962838
50192,LA GALAXIA,MAIPU,1686315600,254.416262762171
50192,LA GALAXIA,MAIPU,1686319200,265.372211609405
50192,LA GALAXIA,MAIPU,1686322800,271.981037912348
50192,LA GALAXIA,MAIPU,1686326400,274.490241471624
50192,LA GALAXIA,MAIPU,1686330000,285.3170073152
50192,LA GALAXIA,MAIPU,1686333600,309.137806390057
50192,LA GALAXIA,MAIPU,1686337200,330.222610917683
50192,LA GALAXIA,MAIPU,1686340800,339.095831516508
50192,LA GALAXIA,MAIPU,1686344400,334.759954774637
50192,LA GALAXIA,MAIPU,1686348000,322.406182136202
50192,LA GALAXIA,MAIPU,1686351600,299.883493088009
50192,LA GALAXIA,MAIPU,1686355200,269.646356013782
50192,LA GALAXIA,MAIPU,1686358800,234.990201643467
50192,LA GALAXIA,MAIPU,1686362400,206.661012912971
50192,LA GALAXIA,MAIPU,1686366000,185.85775862946
50192,LA GALAXIA,MAIPU,1686369600,171.954037246965
50192,LA GALAXIA,MAIPU,1686373200,162.140335398196
50192,LA GALAXIA,MAIPU,1686376800,156.401809675938
50192,LA GALAXIA,MAIPU,1686380400,156.511942557348
50192,LA GALAXIA,MAIPU,1686384000,163.964215980664
50192,LA GALAXIA,MAIPU,1686387600,182.717308881886
50192,LA GALAXIA,MAIPU,1686391200,212.68643223656
50192,LA GALAXIA,MAIPU,1686394800,237.253396033801
50192,LA GALAXIA,MAIPU,1686398400,254.741929025384
50192,LA GALAXIA,MAIPU,1686402000,266.8152205849
50192,LA GALAXIA,MAIPU,1686405600,279.201781228589
50192,LA GALAXIA,MAIPU,1686409200,288.498501644901
50192,LA GALAXIA,MAIPU,1686412800,288.842036372161
50192,LA GALAXIA,MAIPU,1686416400,287.013547899548
50192,LA GALAXIA,MAIPU,1686420000,305.559257954005
50192,LA GALAXIA,MAIPU,1686423600,334.299710877577
50192,LA GALAXIA,MAIPU,1686427200,341.807624524414
50192,LA GALAXIA,MAIPU,1686430800,342.212424931158
50192,LA GALAXIA,MAIPU,1686434400,333.941200922256
50192,LA GALAXIA,MAIPU,1686438000,315.477402769485
50192,LA GALAXIA,MAIPU,1686441600,290.987070515212
50192,LA GALAXIA,MAIPU,1686445200,258.103828712915
50192,LA GALAXIA,MAIPU,1686448800,227.244727072079
50192,LA GALAXIA,MAIPU,1686452400,204.065386869448
50192,LA GALAXIA,MAIPU,1686456000,187.444232541302
50192,LA GALAXIA,MAIPU,1686459600,174.288741485862
50192,LA GALAXIA,MAIPU,1686463200,166.548644695812
50192,LA GALAXIA,MAIPU,1686466800,163.161766631977
50192,LA GALAXIA,MAIPU,1686470400,166.338952554232
50192,LA GALAXIA,MAIPU,1686474000,185.093759350251
50192,LA GALAXIA,MAIPU,1686477600,218.825964084115
50192,LA GALAXIA,MAIPU,1686481200,242.851924158456
50192,LA GALAXIA,MAIPU,1686484800,252.505682502736
50192,LA GALAXIA,MAIPU,1686488400,258.841007894997
50192,LA GALAXIA,MAIPU,1686492000,267.530911742414
50192,LA GALAXIA,MAIPU,1686495600,272.026630938276
50192,LA GALAXIA,MAIPU,1686499200,273.938418659254
50192,LA GALAXIA,MAIPU,1686502800,284.871013171323
50192,LA GALAXIA,MAIPU,1686506400,323.891832834239
50192,LA GALAXIA,MAIPU,1686510000,376.290707601676
50192,LA GALAXIA,MAIPU,1686513600,394.733850257672
50192,LA GALAXIA,MAIPU,1686517200,398.141533479602
50192,LA GALAXIA,MAIPU,1686520800,384.707896850111
50192,LA GALAXIA,MAIPU,1686524400,345.676173411386
50192,LA GALAXIA,MAIPU,1686528000,297.550072396256
50192,LA GALAXIA,MAIPU,1686531600,252.306469146192
50192,LA GALAXIA,MAIPU,1686535200,218.453739474559
50192,LA GALAXIA,MAIPU,1686538800,198.651963940688
50192,LA GALAXIA,MAIPU,1686542400,185.276781797722
50192,LA GALAXIA,MAIPU,1686546000,176.01202387002
50192,LA GALAXIA,MAIPU,1686549600,186.095696959067
50192,LA GALAXIA,MAIPU,1686553200,227.943322003792
50192,LA GALAXIA,MAIPU,1686556800,249.381756139066
50192,LA GALAXIA,MAIPU,1686560400,253.257910186599
50192,LA GALAXIA,MAIPU,1686564000,267.700691389766
50192,LA GALAXIA,MAIPU,1686567600,271.284872002297
50192,LA GALAXIA,MAIPU,1686571200,270.504602686417
50192,LA GALAXIA,MAIPU,1686574800,269.033987672443
50192,LA GALAXIA,MAIPU,1686578400,265.77118885714
50192,LA GALAXIA,MAIPU,1686582000,264.185054691718
