timestamp,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,load25
03-03-2025 0:00,239.31160749421,243.573315714974,250.773296252333,254.508103749627,244.227152217937,238.387295214153,240.178565813031,240.423705397185,243.296412643389,269.646356013782,290.987070515212,297.550072396256,282.793829395965,283.325439435759,271.116721865795,255.110906511483,260.047099108861,244.649969628775,248.346616579332,238.701229019298,250.996553163235,243.88522347295,236.651315205783,246.016575788078,237.85133857897
03-03-2025 1:00,206.964453046616,210.434195666329,222.84709646034,228.500209716143,211.683709091378,205.387860570311,207.240812641001,206.763268931071,210.463910110184,234.990201643467,258.103828712915,252.306469146192,224.957947503045,225.403427172693,216.561038924264,208.035868009454,220.438217874706,213.532559451614,202.135401443862,193.924946647784,209.120590418195,201.266807889403,195.430731460561,209.620392313528,206.860068236779
03-03-2025 2:00,183.808728648798,185.819214696077,197.479474391823,202.762544798308,185.808798012074,181.630976222267,183.135689064515,183.255425963368,186.591844847512,206.661012912971,227.244727072079,218.453739474559,186.381641598316,187.112066482884,181.272765520584,174.749905430659,187.464537632917,184.499878860233,168.235871300242,163.525942285594,176.772038175386,172.092376123695,165.39643562465,179.586962651084,178.34968148091
03-03-2025 3:00,168.864576686535,170.799789468519,179.389774736263,182.529121280668,169.953925159352,167.765294553295,168.334020428538,168.426957771848,170.387916214074,185.85775862946,204.065386869448,198.651963940688,166.094639143901,166.786810082067,161.580852857508,155.433680868409,164.649190870457,162.295820341428,149.068410700682,146.868597988699,156.272946331041,156.244168823204,147.869353410168,157.901295481223,156.985610472929
03-03-2025 4:00,159.254605440956,160.71742696477,167.852346946418,168.276971372611,159.352776008339,158.063623454696,158.540963515439,158.49706942438,160.101158676441,171.954037246965,187.444232541302,185.276781797722,156.783469087784,157.420657804016,152.462348393962,145.435347822068,151.774426864441,148.514052731351,139.886837893207,138.483394191939,144.411332828719,148.500107885408,138.806213179007,144.723432081645,142.960997008754
03-03-2025 5:00,153.43495212669,154.40032072618,158.930030834112,157.628359808215,152.698700350301,151.961595368262,152.245509781823,151.856635561035,153.30611760578,162.140335398196,174.288741485862,176.01202387002,157.70051315774,158.036979381115,152.601992525551,145.196929646361,145.51340234571,140.487066066083,139.265400781574,138.571933588206,138.567824876908,146.980936529212,136.89682781383,137.521645211938,134.269665959415
03-03-2025 6:00,160.670266878305,160.833143740749,153.800762991005,150.213947103019,161.242715835336,159.709063410131,160.051342145369,160.001817874699,159.089711964477,156.401809675938,166.548644695812,186.095696959067,181.700418228403,181.315538919047,173.195791466212,163.145975705897,146.091113891256,137.787074400593,156.408743533678,155.762777690349,138.55800329967,160.94889674374,147.736107225278,136.702457327941,131.678901892414
03-03-2025 7:00,188.963514935815,188.135298811074,153.795615952181,147.408453209284,192.930980896574,189.829312988604,190.109413643063,191.26742887505,185.719798656135,156.511942557348,163.161766631977,227.943322003792,231.624228459367,229.286400070981,216.446073579081,201.933795726432,152.240569666013,139.220312763497,193.8017658498,193.537556695163,142.404385733721,192.92515666063,173.88880067252,141.179226606625,132.792417535764
03-03-2025 8:00,201.317847275293,202.885181745104,157.860921868614,148.797432813291,205.955148143906,204.770637289138,203.952877044609,205.468092508525,200.678771203746,163.964215980664,166.338952554232,249.381756139066,254.384978398373,252.23818041356,234.248514098893,221.019851119326,161.643371755186,144.679428534153,210.793030391091,211.59444944893,148.842087690199,209.64742465187,191.286098567508,150.152297588478,136.882767172427
03-03-2025 9:00,199.664748379443,205.501848432578,171.277374109319,161.676766212757,205.294652766083,203.619992591102,201.941063863575,205.209082661824,204.268355318184,182.717308881886,185.093759350251,253.257910186599,256.819287795436,253.774834814847,233.280558171067,223.129191113265,180.290645288571,163.36239885468,209.383048627579,211.706391020252,164.037656773823,223.565893915871,202.738385055958,166.19051384043,146.710802512634
03-03-2025 10:00,205.398696329652,217.522168405165,198.692071885702,187.752328791598,216.001722873372,212.526727404594,211.943859253143,212.279701596493,219.206885034994,212.68643223656,218.825964084115,267.700691389766,267.161508590594,262.878011334284,239.056700815322,231.68132456648,203.240323594269,198.483071984703,220.739067348162,225.357592693952,193.140653823236,237.451826763143,220.765991138155,194.648835855242,173.156938493993
03-03-2025 11:00,205.745917445052,225.027776734329,218.440050921264,207.608313542306,217.279870886437,216.805598900035,217.455880253817,214.293660802961,231.26445187657,237.253396033801,242.851924158456,271.284872002297,267.011518958149,261.31735037339,236.625781756052,233.068966707916,213.41540775528,226.224506722967,223.94956062062,234.498105318999,218.362578021324,251.157093339097,237.477263906423,222.589443623277,198.170239836313
03-03-2025 12:00,207.756530934492,227.891725104187,228.698248028751,216.166133399646,217.5233640139,218.535053507622,219.12619372176,216.309575118677,241.332133962838,254.741929025384,252.505682502736,270.504602686417,260.349528448768,255.443188485636,230.330968618663,231.588126797268,212.915549473346,249.97807287814,225.18216011862,235.169262310773,260.063960528465,269.67175548784,252.57767985876,245.148356854161,260.367278073739
03-03-2025 13:00,212.163754038467,226.521091555076,237.901209661621,222.248413855601,219.767857012868,223.972799740357,221.908069122418,222.886925395279,254.416262762171,266.8152205849,258.841007894997,269.033987672443,254.870195612197,249.982237113405,226.688469103621,232.505649771338,214.678838384441,275.403809186393,226.521299537654,234.103986915797,279.859386991324,285.280686913268,265.702450488169,262.210031912016,272.822428618716
