datetime,costo_Trafo R0-R1,costo_Trafo I0-I1,costo_Trafo C0-C1,costo_promedio
2025-03-03 00:00:00,0.16683172995729853,,,0.16683172995729853
2025-03-03 01:00:00,0.3548649294708524,,,0.3548649294708524
2025-03-03 02:00:00,0.10614154132744075,,,0.10614154132744075
2025-03-03 03:00:00,0.09671946981251965,,,0.09671946981251965
2025-03-03 04:00:00,0.0,,,0.0
2025-03-03 05:00:00,0.008215694238175223,,,0.008215694238175223
2025-03-03 06:00:00,0.09001879499775593,,,0.09001879499775593
2025-03-03 07:00:00,0.07751328119438275,,,0.07751328119438275
2025-03-03 08:00:00,0.13347835193608001,,,0.13347835193608001
2025-03-03 09:00:00,0.12979357868071867,,,0.12979357868071867
2025-03-03 10:00:00,1.0,,,1.0
2025-03-03 11:00:00,0.1309889454891723,,,0.1309889454891723
2025-03-03 12:00:00,0.14599604265847088,,,0.14599604265847088
2025-03-03 13:00:00,0.14542684289213095,,,0.14542684289213095
2025-03-03 14:00:00,0.1412248320844329,,,0.1412248320844329
2025-03-03 15:00:00,0.14175159527130618,,,0.14175159527130618
2025-03-03 16:00:00,0.1403123735804138,,,0.1403123735804138
2025-03-03 17:00:00,0.15974223093987044,,,0.15974223093987044
2025-03-03 18:00:00,0.18767896760857317,,,0.18767896760857317
2025-03-03 19:00:00,0.10293960629577813,,,0.10293960629577813
2025-03-03 20:00:00,0.1853644793625658,,,0.1853644793625658
2025-03-03 21:00:00,0.19335882883300723,,,0.19335882883300723
2025-03-03 22:00:00,0.17605565858301866,,,0.17605565858301866
2025-03-03 23:00:00,0.15701396439332832,,,0.15701396439332832
