datetime,costo_Trafo R0-R1,costo_Trafo I0-I1,costo_Trafo C0-C1,costo_promedio
2025-03-03 00:00:00,0.5303378219415441,,,0.5303378219415441
2025-03-03 01:00:00,0.29347986972921364,,,0.29347986972921364
2025-03-03 02:00:00,0.13258854803348044,,,0.13258854803348044
2025-03-03 03:00:00,0.04457940725601603,,,0.04457940725601603
2025-03-03 04:00:00,0.00839100648278279,,,0.00839100648278279
2025-03-03 05:00:00,0.0,,,0.0
2025-03-03 06:00:00,0.026517127676279794,,,0.026517127676279794
2025-03-03 07:00:00,0.1659370208134085,,,0.1659370208134085
2025-03-03 08:00:00,0.24092253072222422,,,0.24092253072222422
2025-03-03 09:00:00,0.25191013027081444,,,0.25191013027081444
2025-03-03 10:00:00,0.31421859764535653,,,0.31421859764535653
2025-03-03 11:00:00,0.3428444632523589,,,0.3428444632523589
2025-03-03 12:00:00,0.3775464581699218,,,0.3775464581699218
2025-03-03 13:00:00,0.3951606373090712,,,0.3951606373090712
2025-03-03 14:00:00,0.4135769373285128,,,0.4135769373285128
2025-03-03 15:00:00,0.4181268549848208,,,0.4181268549848208
2025-03-03 16:00:00,0.40912243785187313,,,0.40912243785187313
2025-03-03 17:00:00,0.440483368596318,,,0.440483368596318
2025-03-03 18:00:00,0.6005357110536629,,,0.6005357110536629
2025-03-03 19:00:00,0.8648957886194993,,,0.8648957886194993
2025-03-03 20:00:00,0.9738918274719021,,,0.9738918274719021
2025-03-03 21:00:00,1.0,,,1.0
2025-03-03 22:00:00,0.9421155815070302,,,0.9421155815070302
2025-03-03 23:00:00,0.779999879968913,,,0.779999879968913
