key,feeder,comuna,datetime,value
50192,LA GALAXIA,MAIPU,2023-06-10 00:00:00,269.646356013782
50192,LA GALAXIA,MAIPU,2023-06-10 01:00:00,234.990201643467
50192,LA GALAXIA,MAIPU,2023-06-10 02:00:00,206.661012912971
50192,LA GALAXIA,MAIPU,2023-06-10 03:00:00,185.85775862946
50192,LA GALAXIA,MAIPU,2023-06-10 04:00:00,171.954037246965
50192,LA GALAXIA,MAIPU,2023-06-10 05:00:00,162.140335398196
50192,LA GALAXIA,MAIPU,2023-06-10 06:00:00,156.401809675938
50192,LA GALAXIA,MAIPU,2023-06-10 07:00:00,156.511942557348
50192,LA GALAXIA,MAIPU,2023-06-10 08:00:00,163.964215980664
50192,LA GALAXIA,MAIPU,2023-06-10 09:00:00,182.717308881886
50192,LA GALAXIA,MAIPU,2023-06-10 10:00:00,212.68643223656
50192,LA GALAXIA,MAIPU,2023-06-10 11:00:00,237.253396033801
50192,LA GALAXIA,MAIPU,2023-06-10 12:00:00,254.741929025384
50192,LA GALAXIA,MAIPU,2023-06-10 13:00:00,266.8152205849
50192,LA GALAXIA,MAIPU,2023-06-10 14:00:00,279.201781228589
50192,LA GALAXIA,MAIPU,2023-06-10 15:00:00,288.498501644901
50192,LA GALAXIA,MAIPU,2023-06-10 16:00:00,288.842036372161
50192,LA GALAXIA,MAIPU,2023-06-10 17:00:00,287.013547899548
50192,LA GALAXIA,MAIPU,2023-06-10 18:00:00,305.559257954005
50192,LA GALAXIA,MAIPU,2023-06-10 19:00:00,334.299710877577
50192,LA GALAXIA,MAIPU,2023-06-10 20:00:00,341.807624524414
50192,LA GALAXIA,MAIPU,2023-06-10 21:00:00,342.212424931158
50192,LA GALAXIA,MAIPU,2023-06-10 22:00:00,333.941200922256
50192,LA GALAXIA,MAIPU,2023-06-10 23:00:00,315.477402769485
